class,binSpecies,sex,n,n_dead,infant_cutoff_d,ndims,L,rms,arm,wall_s,rho_eta,rho_beta,rho_eps,kappa,omega,s,beta_xc_eps,external_hazard
Mammalia,Rucervus duvaucelii,m,804,409,133.7239935587762,4,3058.5673015282287,0.0115504982580226,removal,132.95267561916262,6.36896029085394,33.25662643022092,5.463533157422983,0.0191606530663703,-5.504157368192537,0.4619135343050664,6.087018321658227,
Mammalia,Diceros bicornis,m,197,93,568.6206896551724,4,8730.382380572595,0.0195084888376818,removal,74.26090372214094,4.292292020484501,4.669083808531582,0.9261164488617836,0.0010069889944137,-2.7242122752382536,2.237067212598157,5.04157313507387,
Aves,Dendrocygna javanica,f,116,74,182.2940594059406,4,2964.126417226107,0.0282394778316583,removal,107.27093267720193,0.5503788246993313,9.58312864962797,1.9180330679554112,0.181942882138294,-4.852856498037545,0.3867895818381281,4.996331298835954,
Reptilia,Morelia viridis,m,383,217,444.36141078838176,4,6155.311837062527,0.0229248124819804,removal,98.07990856701508,6.223917854449014,17.431423044119963,3.070446358974911,0.0010388385961611,-4.663642494531676,0.8125131741792969,5.677162538002963,
Aves,Lophura leucomelanos,m,198,97,199.00366972477065,4,3355.56975059898,0.0276853887451884,removal,125.3878184510395,0.4751334807759489,2.163602734119041,0.9882505467760788,0.001151714752426,-1.9489349133317249,0.6974944463059779,2.1893261189455,
Mammalia,Ammotragus lervia,f,3662,1727,187.3881147540984,4,3810.811936962344,0.023835450425442,removal,78.54307784186676,7.7017869128874334,32.7784311241367,5.341059929596839,0.0010312674886428,-5.416066857328173,0.5195989901551955,6.137064844095641,
Aves,Gallus varius,m,192,92,142.19285714285715,4,2331.6552233276607,0.0306296723348662,removal,111.71708367811516,10.299528558958396,40.2684262750908,6.282020945755337,0.0012679117222472,-5.590344619805945,0.5108686975496803,6.410106973982559,
Aves,Gallus sonneratii,m,90,54,217.95,4,3251.987184304835,0.0242487351292323,removal,111.2226717248559,4.378673561205571,19.81195647064827,3.839297636213317,0.0010037707637909,-4.590063433432214,0.5450288645054071,5.160307521817641,
Mammalia,Capra sibirica,f,596,276,144.16572052401747,4,3368.1618619269675,0.0386218365222716,removal,105.18630600627512,6.828578590294892,36.02461193657393,5.858234594704821,0.0010026491042099,-5.566578482688712,0.4460652555007043,6.149397289268014,
Mammalia,Leopardus geoffroyi,m,166,73,331.8326923076923,4,6268.393315141588,0.0319341062398643,removal,57.34284305293113,15.41197348126594,21.594012034789262,2.830929579232869,0.0010221076544497,-4.905818002692846,1.3867560214947805,7.627887388368329,
Mammalia,Bos taurus,f,4017,1290,292.9571339950372,4,5585.2246177671705,0.0204379846817025,removal,68.94719241373241,11.132497585198518,24.06733358423663,3.693653823830984,0.0010014934130953,-5.008884338935805,0.903316856804917,6.5158606442642935,
Aves,Casuarius casuarius,f,152,63,420.0844155844156,4,8660.363223855498,0.02252515675256,removal,143.01144438283518,11.845972978187152,57.06374840243089,8.288022075794306,0.0010666778567298,-6.170442289565945,0.4152737404256633,6.885086439271101,
Aves,Anas acuta,m,953,464,203.5234636871509,4,3703.185003106024,0.0148650318018392,removal,68.79031190322712,1.811700636926169,8.148373083673052,1.4924768416865413,0.2126495642507315,-4.852686864491452,0.9018527158720284,5.459631168859652,
Aves,Euplectes orix,m,117,76,231.34204545454543,4,3418.0142582385847,0.0218242584290498,removal,110.488364049932,0.1990290481017328,0.1058080467825001,0.4494912851139785,0.0010096357916103,-0.0140014343771712,0.9925147212263254,0.2353951017218725,
Mammalia,Aonyx cinereus,f,1894,919,237.1594155844156,4,3917.2585851205577,0.0132167986505561,removal,73.4031229140237,9.520101800622063,20.658424074514564,3.24604869172335,0.0010325745186243,-4.897761766402515,0.9505298638362922,6.364175659837948,
Mammalia,Kobus megaceros,f,932,528,252.971408839779,4,4067.835228712256,0.0063147888361337,removal,76.37707061413676,9.397433199789244,22.75820666563835,3.6062228584545513,0.0010507318671143,-5.007868557930204,0.8500648562596317,6.310815376338497,
Mammalia,Rupicapra rupicapra,m,319,113,141.8046979865772,4,2794.8039013710063,0.0399124001591085,removal,128.3979634679854,2.983382261761367,42.62116737727172,7.255639435619599,0.0011628936393468,-5.668621850815381,0.2380557955631005,5.874212432337062,
