binSpecies,genus,family,order,confidence,common_name
Lycaon pictus,Lycaon,Canidae,Carnivora,99,African Painted Dog
Chlamydosaurus kingii,Chlamydosaurus,Agamidae,,99,Frill-necked Lizard
Tetrao urogallus,Tetrao,Phasianidae,Galliformes,99,Capercaillie
Lamprotornis regius,Lamprotornis,Sturnidae,Passeriformes,99,GBST
Neophema splendida,Neophema,Psittacidae,Psittaciformes,99,Scarlet-chested Parakeet
Boa constrictor,Boa,Boidae,,99,Argentine Boa Constrictor [occidentalis]
Elaphodus cephalophus,Elaphodus,Cervidae,Artiodactyla,99,Tufted Deer
Acrantophis madagascariensis,Acrantophis,Boidae,,99,Madagascar Boa
Ptilinopus superbus,Ptilinopus,Columbidae,Columbiformes,99,Eastern Superb Fruit-dove
Phloeomys pallidus,Phloeomys,Muridae,Rodentia,99,Northern Luzon Giant Cloud Rat
Sicalis flaveola,Sicalis,Thraupidae,Passeriformes,99,
Nymphicus hollandicus,Nymphicus,Psittacidae,Psittaciformes,99,Cockatiel
Tringa totanus,Tringa,Scolopacidae,Charadriiformes,99,CORE
Chaetophractus villosus,Chaetophractus,Dasypodidae,Cingulata,99,Big Hairy Armadillo
Trichoglossus moluccanus,Trichoglossus,Psittacidae,Psittaciformes,98,Rainbow Lorikeet
Otaria byronia,Otaria,Otariidae,Carnivora,99,Le 6 n marino de Sudamérica
Saguinus oedipus,Saguinus,Callitrichidae,Primates,99,Cotton-headed Tamarin
Ducula aenea,Ducula,Columbidae,Columbiformes,99,Green Imperial Pigeon
Artamus superciliosus,Artamus,Artamidae,Passeriformes,99,White Browed Woodswallow
Rucervus eldii,Rucervus,Cervidae,Artiodactyla,99,Brow-antlered Deer
Ara macao,Ara,Psittacidae,Psittaciformes,99,
Petrogale xanthopus,Petrogale,Macropodidae,Diprotodontia,99,Gelbful 3 - Felskanguru
Sanzinia madagascariensis,Sanzinia,Boidae,,99,Madagascar Tree Boa
Potos flavus,Potos,Procyonidae,Carnivora,99,Kinkajou
Anseranas semipalmata,Anseranas,Anseranatidae,Anseriformes,99,Magpie Goose
Cyanopica cyanus,Cyanopica,Corvidae,Passeriformes,99,Asian Azure-winged Magpie
Otolemur garnettii,Otolemur,Galagidae,Primates,99,Garnett's Greater Galago
Fratercula cirrhata,Fratercula,Alcidae,Charadriiformes,99,Tufted Auk
Felis silvestris,Felis,Felidae,Carnivora,99,Asian races
Notamacropus rufogriseus,Notamacropus,Macropodidae,Diprotodontia,99,Bennett's Wallaby
Budorcas taxicolor,Budorcas,Bovidae,Artiodactyla,99,Cattle Chamois
Coracias caudatus,Coracias,Coraciidae,Coraciiformes,99,Lilac-breasted Roller
Ciconia nigra,Ciconia,Ciconiidae,Ciconiiformes,99,BLST
Chrysolophus pictus,Chrysolophus,Phasianidae,Galliformes,99,Chinese pheasant
Dasyurus viverrinus,Dasyurus,Dasyuridae,Dasyuromorphia,99,Eastern Native Cat
Elephantulus rufescens,Elephantulus,Macroscelididae,Macroscelidea,99,East African Long-eared Elephant-shrew
Anas bernieri,Anas,Anatidae,Anseriformes,99,Bernier's Teal
Coturnix delegorguei,Coturnix,Phasianidae,Galliformes,99,HAQU
Gazella dorcas,Gazella,Bovidae,Artiodactyla,99,Dorcas Gazelle
Diopsittaca nobilis,Diopsittaca,Psittacidae,Psittaciformes,99,Northern Red-shouldered Macaw
Bubalus bubalis,Bubalus,Bovidae,Artiodactyla,99,Asian Water Buffalo
Procavia capensis,Procavia,Procaviidae,Hyracoidea,99,Cape Hyrax (capensis)
